,NBAC_nfireid,WFS event,area,dice_coefficient,NFDB_fireid
186,622.0,1529,70321366.74762192,0.8042652071834255,
187,,1529,70321366.74762192,0.9393303904841641,23LA-GERMAN
188,617.0,1532,11944831.016901989,0.6833287676328573,
189,,1532,11944831.016901989,0.7282669565323993,23SR-BENTLEY
190,670.0,1535,282289.3641474719,0.02916213969711421,
191,,1535,282289.3641474719,0.022507443535851643,23BN-AARON
192,616.0,1540,76995282.09027861,0.783817041804235,
193,,1540,76995282.09027861,0.8852075121113228,23SR-MESSUM
194,633.0,1541,180998044.0027987,0.8964543200522372,
195,,1541,180998044.0027987,0.9346630971218133,23SR-SEGUIN
196,666.0,1550,12963138.25693209,0.42029315390108657,
197,,1550,12963138.25693209,0.4734784160268851,23BN-PARKER
198,1000.0,1554,2469506.740723557,0.540725178490989,
199,,1554,2469506.740723557,0.5407251784902954,23LA-FRIDAY
200,1001.0,1555,712564.1620877637,0.7408940324335863,
201,,1555,712564.1620877637,0.7408940324379141,23LA-HAWK
202,644.0,1556,4971690.490943297,0.5200061128925497,
203,,1556,4971690.490943297,0.4996111924651443,23LA-NICOLE
204,609.0,1559,5584071.693902211,0.8680901644536855,
205,,1559,5584071.693902211,0.9119854551779307,23SR-ZANGE
206,642.0,1561,121733103.97185259,0.619206381283419,
207,,1561,121733103.97185259,0.8681350958698169,23LA-PELT
208,54.0,1564,4370401.347623389,0.026317626485939685,
209,,1564,4370401.347623389,0.0346116023655357,23SR-DORRELL
210,635.0,1566,116285870.69508101,0.7678807072639776,
211,,1566,116285870.69508101,0.8864755506085795,23LA-POOLE
212,646.0,1568,83973389.47141734,0.7897047821019841,
213,,1568,83973389.47141734,0.8669580580393379,23SR-TODOS
214,626.0,1574,90691353.89507227,0.7986487034811107,
215,,1574,90691353.89507227,0.9004205219914093,23LA-BAY
216,653.0,1582,15496266.609053282,0.79653294507632,
217,,1582,15496266.609053282,0.826086982738018,23LX-CREE
218,654.0,1586,54149719.01323954,0.7698482283038991,
219,,1586,54149719.01323954,0.8226245919865424,23SR-HELMER
220,1005.0,1590,607827.659094595,0.5368949081169672,
221,,1590,607827.659094595,0.5368949081215523,23BN-GOLD
222,636.0,1595,3087137.411073594,0.1173753784883525,
223,,1595,3087137.411073594,0.10423163352275834,23LA-BRAD
224,163.0,1602,2181610.0834190715,0.865174579234368,
225,631.0,1613,21671691.23253628,0.7117709919161275,
226,,1613,21671691.23253628,0.8664762453932648,23DB-TRAILL
227,624.0,1623,155118902.86876127,0.7007883031965635,
228,,1623,155118902.86876127,0.7607892906346195,23SR-HAMIL
229,1004.0,1625,1335821.8069390187,0.6320358329629632,
230,,1625,1335821.8069390187,0.6320358329617964,23LX-KEELEY
231,629.0,1627,44206916.947396584,0.728406539793587,
232,,1627,44206916.947396584,0.7552110940827726,23SR-EISEN
233,,1627,44206916.947396584,0.11256972948137763,23SR-EISEN2
234,647.0,1636,113229.40056041392,0.004796802092856541,
235,,1636,113229.40056041392,0.037918514485852706,23LA-ISLAND
236,639.0,1639,3379245.0444770614,0.7697199544487843,
237,,1639,3379245.0444770614,0.8020760078857059,23SR-PREMIER
